id;user_id;task_name;task_status;description;create_time;plan_start_time;plan_end_time
1;77763;open-source Avon;DOING;payment Gloves Washington;2020-06-07T08:13:57;2020-06-07T09:18:18;2020-06-07T19:32:15
2;2129;Supervisor deposit;COMPLETED;back-end;2020-06-06T23:45:24;2020-06-07T12:28:54;2020-06-07T02:11:56
3;46567;circuit PNG solid state;COMPLETED;Home Officer hacking;2020-06-07T03:29:53;2020-06-07T05:20:19;2020-06-07T22:57:17
4;69521;copying Squares Bacon;TODO;bypass;2020-06-07T01:06:24;2020-06-07T12:02:31;2020-06-07T21:22:20
5;72915;Orchestrator Fantastic;DOING;programming;2020-06-07T22:58:36;2020-06-07T00:08:40;2020-06-07T02:31:50
6;44063;Executive multi-tasking;COMPLETED;Chips;2020-06-07T07:28:45;2020-06-07T16:51:01;2020-06-07T09:15:20
7;88974;applications withdrawal Rustic;TODO;withdrawal Checking Account;2020-06-07T03:53:01;2020-06-07T14:56:41;2020-06-07T03:53:09
8;25448;Rubber parse;TODO;cross-platform Colombian Peso Unidad de Valor Real initiatives;2020-06-07T18:35:12;2020-06-07T20:03:34;2020-06-07T14:04:50
9;23882;cutting-edge Plastic Toys;PENDING;homogeneous;2020-06-06T23:51:01;2020-06-07T03:28:48;2020-06-07T17:05:36
10;29963;Lodge;COMPLETED;solutions Monaco;2020-06-07T14:17:24;2020-06-06T23:44:30;2020-06-07T10:23:02
