id;user_id;start_time;end_time;task_id
1;96992;2020-06-07T23:30:46;2020-06-07T01:46:20;1
2;30898;2020-06-07T21:03:23;2020-06-07T01:03:14;2
3;87130;2020-06-07T00:50:57;2020-06-07T01:00:22;3
4;64977;2020-06-07T06:03:31;2020-06-07T20:37:21;4
5;67210;2020-06-07T01:05:10;2020-06-07T04:39:04;5
6;83436;2020-06-07T02:58:49;2020-06-07T02:04:56;6
7;20880;2020-06-07T13:50:33;2020-06-07T17:03:55;7
8;42366;2020-06-07T13:50:40;2020-06-07T10:27:03;8
9;80069;2020-06-07T05:04:34;2020-06-07T20:37:02;9
10;95709;2020-06-07T12:51:04;2020-06-07T14:16:59;10
